code,city,country
DOH,Doha,Qatar
MSP,Minneapolis,United States
NRT,Tokyo,Japan
MNL,Manila,Philippines
EWR,Newark,United States
SHA,Shanghai,China
MEX,Mexico City,Mexico
IAH,Houston,United States
FCO,Rome,Italy
MCO,Orlando,United States
SZX,Shenzhen,China
KMG,Kunming,China
SYD,Sydney,Australia
MUC,Munich,Germany
TPE,Taipei,Taiwan
LGW,London,United Kingdom
PHX,Phoenix,United States
BCN,Barcelona,Spain
YYZ,Toronto,Canada
CLT,Charlotte,United States
MIA,Miami,United States
BOM,Mumbai,India
SEA,Seattle,United States
CTU,Chengdu,China
LAS,Las Vegas,United States
MAD,Madrid,Spain
KUL,Kuala Lumpur,Malaysia
SFO,San Francisco,United States
CGK,Jakarta,Indonesia
DEL,New Delhi,India
BKK,Bangkok,Thailand
ICN,Seoul,Republic of Korea
DEN,Denver,United States
SIN,Singapore,Singapore
JFK,New York,United States
CAN,Guangzhou,China
IST,Istanbul,Turkey
FRA,Frankfurt am Main,Germany
AMS,Amsterdam,The Netherlands
DFW,Dallas-Fort Worth,United States
CDG,Paris,France
PVG,Shanghai,China
HKG,Hong Kong,Hong Kong
LHR,London,United Kingdom
ORD,Chicago,United States
HND,Tokyo,Japan
LAX,Los Angeles,United States
DXB,Dubai,United Arab Emirates
PEK,Beijing,China
ATL,Atlanta,United States